,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
876,Type C,critical,Support for Business,1799.0,0-200,0-2 Years,Male,No,Savings Account,30.0,House Owner,Services,No,No
877,Type C,Good,Buying a New Car,2529.0,0-200,Unemployed,Female,No,Vehicle,25.0,Renting,Skilled Labor,No,Yes
878,Type C,Good,Buying a New Car,1277.0,0-200,0-2 Years,Female,No,Property - Real Estate,38.0,House Owner,Services,No,No
879,Type C,Good,Home furniture,439.0,0-200,7+ Years,Female,No,Savings Account,51.0,House Owner,Skilled Labor,No,Yes
880,Type C,Good,Buying a New Car,979.0,0-200,0-2 Years,Female,No,Vehicle,25.0,House Owner,Services,No,No
881,Type C,Good,Buying a New Car,1298.0,No Data,5-7 Years,Female,No,No Security,34.0,Renting,Skilled Labor,No,No
882,Type C,critical,Buying a New Car,695.0,0-200,7+ Years,Male,No,Savings Account,35.0,House Owner,Skilled Labor,No,No
883,Type C,critical,Home furniture,2127.0,0-200,2-5 Years,Female,No,Property - Real Estate,26.0,Renting,Skilled Labor,No,No
884,Type C,Good,TV,2225.0,0-200,2-5 Years,Male,No,Savings Account,24.0,House Owner,Services,No,Yes
885,Type C,Good,Home furniture,3125.0,0-200,0-2 Years,Divorced,No,Savings Account,29.0,House Owner,Services,No,No
886,Type C,Good,Buying a Used Car,2832.0,No Data,7+ Years,Female,No,Property - Real Estate,25.0,Renting,Skilled Labor,No,Yes
887,Type C,critical,Learning / Edu purposes,8073.0,0-200,2-5 Years,Female,No,No Security,24.0,House Owner,Professional / Management,No,No
888,Type C,Good,Buying a New Car,1373.0,No Data,2-5 Years,Female,No,Property - Real Estate,24.0,Renting,Skilled Labor,No,No
889,Type C,Good,TV,3522.0,0-200,5-7 Years,Female,Yes,Property - Real Estate,23.0,House Owner,Skilled Labor,No,Yes
890,Type C,critical,Learning / Edu purposes,6012.0,0-200,2-5 Years,Male,No,No Security,27.0,House Owner,Skilled Labor,No,No
891,Type C,Good,Buying a Used Car,7522.0,No Data,7+ Years,Male,No,Savings Account,51.0,Free,Skilled Labor,No,No
892,Type C,critical,Home furniture,4286.0,0-200,7+ Years,Female,No,Savings Account,22.0,House Owner,Skilled Labor,No,No
893,Type C,Good,Buying a New Car,9273.0,0-200,5-7 Years,Male,No,Vehicle,22.0,House Owner,Skilled Labor,No,No
894,Type C,critical,Buying a Used Car,9639.0,0-200,5-7 Years,Male,No,Vehicle,25.0,House Owner,Skilled Labor,No,No
895,Type C,Good,Home Devices,3067.0,0-200,2-5 Years,Male,No,Vehicle,56.0,House Owner,Skilled Labor,No,No
896,Type C,Good,Buying a New Car,3944.0,0-200,5-7 Years,Male,No,No Security,46.0,Free,Skilled Labor,No,No
897,Type C,Good,All other,15865.0,0-200,Unemployed,Divorced,Yes,Vehicle,41.0,House Owner,Professional / Management,No,Yes
898,Type C,Good,TV,1362.0,0-200,2-5 Years,Married,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,No
899,Type C,Good,Home furniture,2728.0,0-200,7+ Years,Male,No,Savings Account,43.0,House Owner,Skilled Labor,No,No
900,Type C,critical,Buying a New Car,749.0,0-200,7+ Years,Male,No,Property - Real Estate,45.0,House Owner,Services,No,No
901,Type C,critical,Buying a New Car,1607.0,0-200,7+ Years,Married,No,Vehicle,32.0,House Owner,Skilled Labor,No,No
902,Type C,critical,Buying a New Car,3979.0,0-200,7+ Years,Female,No,Property - Real Estate,35.0,Renting,Skilled Labor,No,No
903,Type C,Good,Buying a Used Car,8336.0,No Data,7+ Years,Male,No,No Security,45.0,Free,Skilled Labor,No,No
904,Type C,Good,Buying a New Car,1217.0,0-200,0-2 Years,Female,No,Vehicle,23.0,Renting,Skilled Labor,No,No
905,Type C,Good,Support for Business,11828.0,0-200,7+ Years,Male,No,Vehicle,28.0,Renting,Skilled Labor,No,No
906,Type C,Good,Buying a New Car,1090.0,0-200,2-5 Years,Male,No,Vehicle,46.0,House Owner,Skilled Labor,No,No
907,Type C,critical,Buying a Used Car,2971.0,0-200,7+ Years,Male,No,Savings Account,62.0,House Owner,Skilled Labor,No,No
908,Type C,Good,Home furniture,5181.0,0-200,5-7 Years,Male,No,Savings Account,28.0,House Owner,Skilled Labor,No,No
909,Type C,Good,TV,1368.0,0-200,5-7 Years,Male,No,Property - Real Estate,57.0,House Owner,Skilled Labor,No,Yes
910,Type C,Good,TV,714.0,0-200,7+ Years,Male,No,Property - Real Estate,58.0,House Owner,Services,No,No
911,Type C,critical,Buying a New Car,2252.0,0-200,2-5 Years,Married,Yes,Savings Account,32.0,Renting,Skilled Labor,Yes,No
912,Type C,Average (known delays),Buying a New Car,1459.0,0-200,5-7 Years,Male,No,No Security,32.0,Free,Services,No,No
913,Type C,Good,Buying a New Car,3971.0,0-200,2-5 Years,Female,No,Savings Account,29.0,House Owner,Skilled Labor,No,No
914,Type C,Good,TV,2458.0,0-200,0-2 Years,Female,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
915,Type C,Good,TV,2398.0,0-200,0-2 Years,Female,No,Vehicle,27.0,House Owner,Skilled Labor,No,Yes
916,Type C,Good,Home furniture,666.0,0-200,7+ Years,Female,No,Savings Account,25.0,Renting,Skilled Labor,No,Yes
917,Type C,critical,Support for Business,1396.0,200-500,5-7 Years,Male,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,Yes
918,Type C,Good,Home furniture,3596.0,0-200,2-5 Years,Male,Yes,Savings Account,30.0,House Owner,Services,No,Yes
919,Type C,Average (known delays),TV,1958.0,0-200,0-2 Years,Male,Yes,No Security,36.0,Free,Professional / Management,No,No
920,Type C,Good,Buying a New Car,1439.0,0-200,0-2 Years,Male,No,No Security,28.0,Free,Professional / Management,No,No
921,Type C,Good,Learning / Edu purposes,811.0,0-200,0-2 Years,Female,No,Savings Account,55.0,House Owner,Skilled Labor,No,No
922,Type C,critical,Support for Business,2450.0,0-200,7+ Years,Male,No,Vehicle,44.0,House Owner,Professional / Management,No,No
923,Type C,critical,Buying a New Car,2177.0,0-200,2-5 Years,Male,No,Savings Account,37.0,House Owner,Services,Yes,No
924,Type C,Good,TV,2612.0,0-200,0-2 Years,Female,No,Savings Account,29.0,Renting,Professional / Management,No,Yes
925,Type C,Good,Home furniture,4160.0,0-200,2-5 Years,Male,Yes,Vehicle,44.0,House Owner,Skilled Labor,No,No
926,Type C,critical,Buying a New Car,2631.0,0-200,7+ Years,Male,Yes,Savings Account,43.0,Renting,Skilled Labor,No,No
927,Type C,Good,TV,1109.0,0-200,2-5 Years,Male,No,Property - Real Estate,22.0,Renting,Professional / Management,No,Yes
928,Type C,Good,Buying a New Car,3768.0,No Data,5-7 Years,Male,Yes,Property - Real Estate,24.0,House Owner,Services,Yes,Yes
929,Type C,Average (known delays),Support for Business,3166.0,0-200,2-5 Years,Male,No,Savings Account,31.0,Renting,Skilled Labor,No,No
930,Type C,Good,Buying a New Car,14912.0,0-200,7+ Years,Male,No,No Security,69.0,House Owner,Professional / Management,No,No
931,Type C,Good,Home furniture,2373.0,200-500,Unemployed,Divorced,No,Savings Account,32.0,House Owner,Skilled Labor,No,No
932,Type C,Good,Home furniture,3365.0,0-200,7+ Years,Male,No,Savings Account,40.0,Renting,Professional / Management,No,No
933,Type C,Good,TV,1368.0,0-200,0-2 Years,Female,No,Savings Account,23.0,Renting,Skilled Labor,No,No
934,Type C,Average (known delays),Home furniture,6882.0,0-200,0-2 Years,Divorced,No,Savings Account,57.0,House Owner,Skilled Labor,No,No
935,Type C,Average (known delays),Buying a New Car,712.0,0-200,0-2 Years,Male,No,Vehicle,46.0,House Owner,Skilled Labor,No,No
936,Type C,critical,Home furniture,1055.0,0-200,0-2 Years,Female,No,Savings Account,19.0,Renting,Skilled Labor,No,No
937,Type C,Good,Buying a Used Car,10309.0,0-200,5-7 Years,Male,No,No Security,41.0,Free,Skilled Labor,No,No
938,Type C,Average (known delays),Buying a New Car,1349.0,0-200,2-5 Years,Male,No,Property - Real Estate,44.0,House Owner,Services,No,No
939,Type C,Good,Home furniture,1757.0,0-200,0-2 Years,Male,Yes,Savings Account,24.0,House Owner,Services,Yes,Yes
940,Type C,Good,TV,1514.0,0-200,2-5 Years,Female,No,Vehicle,23.0,House Owner,Skilled Labor,No,Yes
941,Type C,Good,Home furniture,1859.0,0-200,0-2 Years,Female,Yes,Savings Account,45.0,Renting,Skilled Labor,No,Yes
942,Type C,Average (known delays),Home furniture,3364.0,500-1000,0-2 Years,Male,No,No Security,30.0,Free,Skilled Labor,No,No
943,Type C,Average (known delays),Support for Business,2165.0,0-200,5-7 Years,Male,No,Vehicle,24.0,House Owner,Skilled Labor,No,No
944,Type C,Good,Buying a New Car,1894.0,0-200,2-5 Years,Female,Yes,Savings Account,27.0,House Owner,Skilled Labor,No,Yes
945,Type C,critical,TV,1244.0,1000+,7+ Years,Female,No,Savings Account,57.0,Renting,Professional / Management,No,Yes
946,Type C,Good,Buying a New Car,4009.0,0-200,2-5 Years,Male,No,Vehicle,45.0,House Owner,Services,No,No
947,Type C,critical,Buying a New Car,3948.0,0-200,2-5 Years,Male,No,Property - Real Estate,42.0,House Owner,Services,No,No
948,Type C,Average (known delays),Buying a New Car,1194.0,0-200,Unemployed,Female,Yes,No Security,27.0,Renting,Not Employed,No,No
949,Type C,Good,Support for Business,7302.0,0-200,7+ Years,Male,Yes,No Security,37.0,Renting,Skilled Labor,No,No
950,Type C,Good,Buying a Used Car,8245.0,0-200,2-5 Years,Male,No,Savings Account,25.0,House Owner,Skilled Labor,No,No
951,Type C,critical,Home furniture,1443.0,0-200,2-5 Years,Female,No,Savings Account,26.0,Renting,Skilled Labor,No,No
952,Type C,Good,Buying a Used Car,6596.0,0-200,Unemployed,Male,No,No Security,30.0,Free,Professional / Management,No,Yes
953,Type C,Good,TV,1941.0,No Data,5-7 Years,Married,No,Vehicle,23.0,Renting,Services,No,Yes
954,Type C,Good,Home furniture,3962.0,0-200,Unemployed,Male,No,Savings Account,31.0,House Owner,Professional / Management,No,Yes
955,Type C,Good,Buying a Used Car,3871.0,0-200,2-5 Years,Divorced,No,Savings Account,42.0,House Owner,Professional / Management,No,Yes
956,Type C,Good,TV,1848.0,0-200,2-5 Years,Male,No,No Security,21.0,Free,Skilled Labor,No,No
957,Type C,Average (known delays),Buying a New Car,791.0,No Data,2-5 Years,Male,Yes,Property - Real Estate,27.0,House Owner,Services,No,Yes
958,Type C,Average (known delays),TV,937.0,0-200,2-5 Years,Female,No,Property - Real Estate,23.0,House Owner,Skilled Labor,No,No
959,Type C,Average (known delays),Buying a New Car,6472.0,0-200,7+ Years,Male,No,No Security,38.0,House Owner,Professional / Management,No,No
960,Type C,Average (known delays),Buying a Used Car,8628.0,1000+,2-5 Years,Male,No,Vehicle,26.0,House Owner,Skilled Labor,No,Yes
961,Type C,Average (known delays),Buying a Used Car,7494.0,No Data,Unemployed,Female,No,Property - Real Estate,54.0,House Owner,Professional / Management,No,No
962,Type C,Average (known delays),Support for Business,9586.0,0-200,0-2 Years,Divorced,No,Vehicle,27.0,House Owner,Skilled Labor,No,No
963,Type C,Average (known delays),Support for Business,5123.0,0-200,5-7 Years,Male,No,Vehicle,26.0,House Owner,Skilled Labor,No,No
964,Type C,Average (known delays),Support for Business,2981.0,No Data,2-5 Years,Male,No,Property - Real Estate,34.0,House Owner,Skilled Labor,No,Yes
965,Type C,Average (known delays),Advance Edu/training,3463.0,500-1000,2-5 Years,Female,No,Property - Real Estate,36.0,House Owner,Services,No,Yes
966,Type C,Average (known delays),Home furniture,4157.0,200-500,2-5 Years,Male,No,Savings Account,34.0,House Owner,Skilled Labor,No,Yes
967,Type C,Average (known delays),Support for Business,1761.0,200-500,2-5 Years,Male,No,Property - Real Estate,32.0,House Owner,Services,No,Yes
968,Type C,Average (known delays),TV,4467.0,0-200,2-5 Years,Male,No,Vehicle,25.0,House Owner,Professional / Management,No,No
969,Type C,Average (known delays),TV,2327.0,0-200,Unemployed,Married,No,Property - Real Estate,36.0,House Owner,Skilled Labor,No,No
970,Type C,Average (known delays),TV,849.0,No Data,7+ Years,Male,No,No Security,37.0,Free,Skilled Labor,No,Yes
971,Type C,Average (known delays),Support for Business,4278.0,200-500,2-5 Years,Male,No,Savings Account,24.0,House Owner,Services,No,Yes
972,Type C,Average (known delays),Support for Business,8655.0,0-200,0-2 Years,Male,No,Vehicle,25.0,House Owner,Skilled Labor,No,No
973,Type C,Average (known delays),Buying a New Car,811.0,0-200,2-5 Years,Male,No,Vehicle,26.0,House Owner,Services,No,No
974,Type C,Average (known delays),Home furniture,1601.0,200-500,5-7 Years,Male,No,Property - Real Estate,35.0,House Owner,Professional / Management,No,Yes
975,Type C,Average (known delays),TV,7250.0,No Data,7+ Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,Yes
976,Type C,Average (known delays),Support for Business,2771.0,0-200,2-5 Years,Female,No,Vehicle,25.0,House Owner,Skilled Labor,No,No
977,Type C,Average (known delays),Buying a Used Car,4685.0,0-200,5-7 Years,Male,No,Vehicle,37.0,House Owner,Services,No,No
978,Type C,Average (known delays),Home furniture,977.0,1000+,5-7 Years,Female,No,Savings Account,28.0,House Owner,Skilled Labor,No,Yes
979,Type C,Average (known delays),Buying a Used Car,1513.0,0-200,2-5 Years,Married,No,Property - Real Estate,43.0,Renting,Skilled Labor,No,No
980,Type C,Average (known delays),Buying a New Car,2038.0,0-200,7+ Years,Male,No,No Security,60.0,Free,Skilled Labor,No,No
981,Type C,Average (known delays),TV,1764.0,500-1000,7+ Years,Male,No,Savings Account,44.0,House Owner,Services,No,Yes
982,Type C,Average (known delays),Support for Business,3883.0,0-200,2-5 Years,Male,No,No Security,33.0,Free,Skilled Labor,No,No
983,Type C,Average (known delays),Home furniture,1815.0,0-200,5-7 Years,Female,No,Property - Real Estate,23.0,House Owner,Skilled Labor,No,No
984,Type C,Average (known delays),TV,15666.0,0-200,5-7 Years,Male,No,Vehicle,20.0,House Owner,Skilled Labor,No,No
985,Type C,Average (known delays),Support for Business,7991.0,No Data,0-2 Years,Male,No,Vehicle,29.0,Renting,Skilled Labor,No,No
986,Type C,Average (known delays),Support for Business,3618.0,0-200,2-5 Years,Female,No,Property - Real Estate,27.0,House Owner,Skilled Labor,No,No
987,Type C,Average (known delays),Support for Business,2592.0,500-1000,0-2 Years,Male,No,Property - Real Estate,40.0,House Owner,Services,No,No
988,Type C,Average (known delays),TV,1496.0,0-200,2-5 Years,Married,No,Property - Real Estate,33.0,House Owner,Skilled Labor,No,No
989,Type C,Average (known delays),Renovation,1556.0,1000+,7+ Years,Male,No,No Security,56.0,Free,Skilled Labor,No,No
990,Type C,Average (known delays),Buying a New Car,724.0,No Data,7+ Years,Married,No,Vehicle,55.0,House Owner,Skilled Labor,No,Yes
991,Type C,Average (known delays),Support for Business,2386.0,500-1000,2-5 Years,Male,No,Vehicle,45.0,House Owner,Skilled Labor,No,Yes
992,Type C,Average (known delays),Buying a Used Car,2997.0,0-200,2-5 Years,Male,No,Property - Real Estate,30.0,House Owner,Services,No,No
993,Type C,Average (known delays),Support for Business,1573.0,0-200,5-7 Years,Male,No,Vehicle,49.0,House Owner,Skilled Labor,No,No
994,Type C,Average (known delays),Buying a New Car,10892.0,0-200,7+ Years,Male,No,Vehicle,45.0,House Owner,Skilled Labor,No,No
995,Type C,Average (known delays),Support for Business,2174.0,0-200,2-5 Years,Married,No,Vehicle,26.0,House Owner,Skilled Labor,No,No
996,Type C,Average (known delays),Home furniture,7686.0,500-1000,5-7 Years,Female,No,Vehicle,42.0,House Owner,Skilled Labor,No,Yes
997,Type C,Average (known delays),Buying a Used Car,7827.0,No Data,0-2 Years,Male,Yes,Property - Real Estate,41.0,Renting,Skilled Labor,No,Yes
998,Type C,Average (known delays),Buying a Used Car,8950.0,No Data,5-7 Years,Male,No,Vehicle,32.0,House Owner,Professional / Management,No,Yes
999,Type C,Average (known delays),Buying a Used Car,3602.0,0-200,0-2 Years,Female,No,Savings Account,47.0,House Owner,Services,No,No
1000,Type C,Average (known delays),TV,4473.0,0-200,2-5 Years,Female,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
1001,Type C,Average (known delays),TV,12759.0,500-1000,5-7 Years,Male,No,Vehicle,38.0,House Owner,Professional / Management,No,Yes
1002,Type C,Average (known delays),Buying a New Car,2551.0,0-200,7+ Years,Male,No,Vehicle,47.0,House Owner,Services,No,No
1003,Type C,Average (known delays),TV,1587.0,200-500,7+ Years,Male,No,Vehicle,35.0,House Owner,Services,No,Yes
1004,,,,,,,,,,43.0,House Owner,Services,No,
1005,,,,1765.0,0-201,,,,,,,,,
